"agency_cd","site_no","datetime","discharge.max","discharge.max.approval","discharge.min","discharge.min.approval","discharge.mean","discharge.mean.approval","gage.height.max","gage.height.max.approval","gage.height.min","gage.height.min.approval","gage.height.mean","gage.height.mean.approval"
"USGS",2085000,"271211",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271212",NA,"",NA,"",68,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271213",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271214",NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271215",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271216",NA,"",NA,"",559,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271217",NA,"",NA,"",320,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271218",NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271219",NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271220",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271221",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271222",NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271223",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271224",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271225",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271226",NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271227",NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271228",NA,"",NA,"",41,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271229",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271230",NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,"271231",NA,"",NA,"",158,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280101",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280102",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280103",NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280104",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280105",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280106",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280107",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280108",NA,"",NA,"",41,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280109",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280110",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280111",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280112",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280113",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280114",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280115",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280116",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280117",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280118",NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280119",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280120",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280121",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280122",NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280123",NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280124",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280125",NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280126",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280127",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280128",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280129",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280130",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280131",NA,"",NA,"",221,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280201",NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280202",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280203",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280204",NA,"",NA,"",46,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280205",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280206",NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280207",NA,"",NA,"",60,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280208",NA,"",NA,"",562,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280209",NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280210",NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280211",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280212",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280213",NA,"",NA,"",96,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280214",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280215",NA,"",NA,"",263,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280216",NA,"",NA,"",140,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280217",NA,"",NA,"",67,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280218",NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280219",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280220",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280221",NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280222",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280223",NA,"",NA,"",108,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280224",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280225",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280226",NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280227",NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280228",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280229",NA,"",NA,"",45,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280301",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280302",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280303",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280304",NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280305",NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280306",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280307",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280308",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280309",NA,"",NA,"",118,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280310",NA,"",NA,"",66,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280311",NA,"",NA,"",182,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280312",NA,"",NA,"",91,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280313",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280314",NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280315",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280316",NA,"",NA,"",66,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280317",NA,"",NA,"",124,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280318",NA,"",NA,"",563,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280319",NA,"",NA,"",146,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280320",NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280321",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280322",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280323",NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280324",NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280325",NA,"",NA,"",68,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280326",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280327",NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280328",NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280329",NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280330",NA,"",NA,"",42,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280331",NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280401",NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280402",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280403",NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280404",NA,"",NA,"",35,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280405",NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280406",NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280407",NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280408",NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280409",NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280410",NA,"",NA,"",124,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280411",NA,"",NA,"",574,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280412",NA,"",NA,"",277,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280413",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280414",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280415",NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280416",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280417",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280418",NA,"",NA,"",64,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280419",NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280420",NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280421",NA,"",NA,"",65,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280422",NA,"",NA,"",130,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280423",NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280424",NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280425",NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280426",NA,"",NA,"",67,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280427",NA,"",NA,"",664,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280428",NA,"",NA,"",1520,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280429",NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280430",NA,"",NA,"",158,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280501",NA,"",NA,"",130,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280502",NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280503",NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280504",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280505",NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280506",NA,"",NA,"",52,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280507",NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280508",NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280509",NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
